sub_net,data_id,shuffle,values 
0,0,1,10110011
0,1,1,10110010
0,2,1,00110010
0,3,1,00110011
0,4,1,01110011
0,5,1,10010011
0,6,1,01110001
0,7,1,01010001
0,8,1,11010001
0,9,1,11010000
0,10,1,11010010
0,11,1,10010010
0,12,1,10000010
0,13,1,10000011
0,14,1,00000011
0,15,1,00010011
1,0,1,01001100
1,1,1,01001110
1,2,1,11101110
1,3,1,11101101
1,4,1,11101001
1,5,1,10101101
1,6,1,01101101
1,7,1,01101100
1,8,1,00111100
1,9,1,00110100
1,10,1,01110110
1,11,1,00110110
1,12,1,00100110
1,13,1,00100111
1,14,1,00000110
1,15,1,10100110
